7.67559,7.98661,7.43002,7.49,8.01953,7.2177,7.01516,7.98248,7.83271
11.769,11.4023,11.3532,11.3049,11.3444,11.2024,11.0021,10.9174,10.9603
3.80613,3.71716,4.47607,4.56443,4.06337,4.43239,4.05892,4.80524,3.55586
10.311,10.9787,10.427,10.4892,10.2532,10.4645,10.5679,10.1474,10.1758
8.25248,8.19916,7.87045,8.8939,9.09844,9.17507,8.86314,7.88499,8.78342
6.17545,6.3349,6.561,6.66356,6.61626,6.5369,6.29812,6.11634,6.70519
5.27151,6.16395,5.85585,5.64963,6.44584,5.71181,5.91274,5.86547,6.13112
9.53766,10.2344,10.8889,9.53841,9.95978,9.51417,9.98253,10.7938,10.2204
7.41511,7.25308,5.66869,6.54493,6.35708,5.27618,5.26261,5.77901,5.15465
8.70523,9.04907,9.13528,8.82834,8.93153,9.02328,8.94831,8.5342,8.89955
5.18442,4.6391,4.71536,4.71221,4.39915,4.8508,4.88313,4.61609,4.2574
4.63107,5.29688,4.47607,5.34805,4.73127,5.02431,5.02986,5.15894,4.81039
5.69577,5.66928,5.65039,5.52907,5.48265,5.78374,5.35564,5.63075,5.87504
5.83659,5.95113,5.72483,5.59518,5.55794,5.59542,5.49392,5.39556,5.25234
4.79751,4.40369,3.47766,1.79829,4.68069,4.30706,4.60707,4.13284,4.81383
6.4232,6.127,6.0633,5.54641,5.78806,5.628,5.82754,5.93071,5.63373
7.26306,7.35589,7.38759,7.36179,7.61392,7.65514,7.13993,7.32953,7.76744
5.79797,6.20971,5.77928,5.5232,6.00746,5.45798,5.84725,5.50801,5.82046
4.7491,4.12071,4.78668,4.45255,4.66344,5.43928,5.52265,5.2099,4.45038
5.47074,4.83171,4.96231,4.74241,4.93953,5.10652,5.06194,4.36824,4.93884
5.346,6.36426,4.86673,5.9328,5.13854,5.99637,6.24405,5.81745,5.26528
7.917,7.78849,7.61921,7.92941,8.29935,8.23158,8.56089,7.69782,7.96588
5.21947,3.73975,5.67096,5.35776,5.13466,5.36058,5.30594,5.526,4.96493
5.56869,5.56109,5.85793,6.27765,6.12952,6.35848,6.64609,5.79467,5.60809
